コード,銘柄名
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ
2013,ｉシェアーズ　米国高配当株　ＥＴＦ
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ
